Function,Array_Size,Comparisons
Linear Search,876,1747
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1740
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1742
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1743
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1745
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1183
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,876,1750
Pair Comparison,876,1312
STL minmax_element,876,1312
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1372
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1374
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1372
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1371
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1373
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,879
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,690,1378
Pair Comparison,690,1033
STL minmax_element,690,1033
Linear Search,686,1362
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1365
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1365
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1364
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1366
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1364
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1364
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1362
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,863
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,686,1370
Pair Comparison,686,1027
STL minmax_element,686,1027
Linear Search,786,1562
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1565
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1563
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1565
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1564
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1012
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,786,1570
Pair Comparison,786,1177
STL minmax_element,786,1177
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1364
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1367
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1369
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1367
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1366
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,856
Pair Comparison,687,1029
STL minmax_element,687,1029
Linear Search,687,1372
Pair Comparison,687,1029
STL minmax_element,687,1028
Linear Search,600,1193
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1194
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1195
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1190
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1192
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1193
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1194
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1195
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,742
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,600,1198
Pair Comparison,600,898
STL minmax_element,600,898
Linear Search,287,571
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,569
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,569
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,564
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,569
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,565
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,564
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,564
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,323
Pair Comparison,287,429
STL minmax_element,287,429
Linear Search,287,572
Pair Comparison,287,429
STL minmax_element,287,428
Linear Search,365,722
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,723
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,719
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,726
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,723
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,721
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,722
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,723
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,432
Pair Comparison,365,546
STL minmax_element,365,546
Linear Search,365,728
Pair Comparison,365,546
STL minmax_element,365,545
Linear Search,213,420
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,420
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,417
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,421
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,418
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,418
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,422
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,415
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,232
Pair Comparison,213,318
STL minmax_element,213,318
Linear Search,213,424
Pair Comparison,213,318
STL minmax_element,213,317
Linear Search,112,219
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,218
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,216
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,216
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,215
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,220
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,219
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,217
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,117
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,222
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,158,312
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,312
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,311
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,309
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,309
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,310
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,312
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,310
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,165
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,158,314
Pair Comparison,158,235
STL minmax_element,158,235
Linear Search,734,1462
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1458
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1463
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1461
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1459
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1452
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1459
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1459
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,949
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,734,1466
Pair Comparison,734,1099
STL minmax_element,734,1099
Linear Search,361,715
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,716
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,715
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,717
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,715
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,716
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,715
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,717
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,423
Pair Comparison,361,540
STL minmax_element,361,540
Linear Search,361,720
Pair Comparison,361,540
STL minmax_element,361,539
Linear Search,504,996
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,1000
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,998
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,996
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,1001
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,1004
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,1000
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,1000
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,598
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,504,1006
Pair Comparison,504,754
STL minmax_element,504,754
Linear Search,989,1969
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1970
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1969
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1973
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1970
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1971
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1969
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1971
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1345
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,989,1976
Pair Comparison,989,1482
STL minmax_element,989,1482
Linear Search,268,530
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,530
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,530
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,528
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,528
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,528
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,532
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,531
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,299
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,268,534
Pair Comparison,268,400
STL minmax_element,268,400
Linear Search,566,1125
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1126
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1127
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1121
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1125
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1122
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1122
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1123
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,693
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,566,1130
Pair Comparison,566,847
STL minmax_element,566,847
Linear Search,300,593
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,594
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,591
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,593
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,594
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,591
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,593
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,595
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,333
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,300,598
Pair Comparison,300,448
STL minmax_element,300,448
Linear Search,198,388
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,392
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,385
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,388
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,391
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,390
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,387
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,387
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,213
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,198,394
Pair Comparison,198,295
STL minmax_element,198,295
Linear Search,819,1634
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1632
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1627
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1632
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1633
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1628
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1634
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1628
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1091
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,819,1636
Pair Comparison,819,1227
STL minmax_element,819,1227
Linear Search,938,1866
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1865
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1869
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1869
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1870
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1865
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1867
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1865
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1276
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,938,1874
Pair Comparison,938,1405
STL minmax_element,938,1405
Linear Search,352,698
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,699
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,700
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,695
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,694
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,695
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,694
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,694
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,405
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,352,702
Pair Comparison,352,526
STL minmax_element,352,526
Linear Search,489,965
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,970
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,971
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,970
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,973
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,969
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,971
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,969
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,582
Pair Comparison,489,732
STL minmax_element,489,732
Linear Search,489,976
Pair Comparison,489,732
STL minmax_element,489,731
Linear Search,22,39
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,38
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,40
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,39
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,41
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,40
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,40
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,39
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,21
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,22,42
Pair Comparison,22,31
STL minmax_element,22,31
Linear Search,396,783
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,787
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,781
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,783
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,786
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,784
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,788
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,783
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,472
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,396,790
Pair Comparison,396,592
STL minmax_element,396,592
Linear Search,112,219
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,218
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,219
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,217
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,217
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,220
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,219
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,220
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,119
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,112,222
Pair Comparison,112,166
STL minmax_element,112,166
Linear Search,422,831
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,837
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,836
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,839
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,839
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,837
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,834
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,837
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,500
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,422,842
Pair Comparison,422,631
STL minmax_element,422,631
Linear Search,280,551
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,552
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,554
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,556
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,554
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,556
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,552
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,554
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,307
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,280,558
Pair Comparison,280,418
STL minmax_element,280,418
Linear Search,249,490
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,490
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,491
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,492
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,493
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,491
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,492
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,490
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,281
Pair Comparison,249,372
STL minmax_element,249,372
Linear Search,249,496
Pair Comparison,249,372
STL minmax_element,249,371
Linear Search,130,249
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,249
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,249
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,252
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,254
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,254
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,255
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,252
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,136
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,130,258
Pair Comparison,130,193
STL minmax_element,130,193
Linear Search,442,878
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,874
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,875
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,879
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,874
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,876
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,876
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,876
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,523
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,442,882
Pair Comparison,442,661
STL minmax_element,442,661
Linear Search,602,1198
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1197
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1198
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1195
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1190
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1198
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1197
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1198
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,742
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,602,1202
Pair Comparison,602,901
STL minmax_element,602,901
Linear Search,310,610
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,613
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,614
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,615
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,614
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,610
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,615
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,612
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,349
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,310,618
Pair Comparison,310,463
STL minmax_element,310,463
Linear Search,413,821
Pair Comparison,413,618
STL minmax_element,413,618
Linear Search,413,819
Pair Comparison,413,618
STL minmax_element,413,618
Linear Search,413,821
Pair Comparison,413,618
